iter	Passed	Remaining
0	53	265838
1	98	247117
2	145	241575
3	190	238435
4	233	233510
5	276	230356
6	321	228971
7	363	226643
8	406	225197
9	448	223689
10	490	222334
11	533	221903
12	576	221246
13	620	220880
14	662	220243
15	707	220436
16	751	220239
17	794	220021
18	839	219978
19	883	219983
20	925	219340
21	966	218735
22	1010	218697
23	1057	219177
24	1098	218672
25	1142	218608
26	1185	218331
27	1229	218249
28	1274	218434
29	1317	218207
30	1359	217885
31	1406	218361
32	1448	218022
33	1495	218362
34	1538	218221
35	1582	218239
36	1626	218235
37	1668	217924
38	1710	217636
39	1755	217727
40	1802	218005
41	1846	217964
42	1892	218210
43	1937	218228
44	1979	217963
45	2024	218030
46	2069	218053
47	2115	218294
48	2160	218263
49	2205	218354
50	2249	218296
51	2291	218085
52	2334	217906
53	2379	217929
54	2424	218025
55	2469	218055
56	2513	217939
57	2556	217856
58	2599	217666
59	2644	217759
60	2690	217806
61	2733	217738
62	2777	217675
63	2822	217681
64	2867	217714
65	2912	217758
66	2956	217688
67	2999	217543
68	3040	217303
69	3087	217446
70	3133	217501
71	3177	217475
72	3224	217659
73	3272	217823
74	3317	217858
75	3360	217706
76	3405	217721
77	3447	217574
78	3492	217567
79	3535	217461
80	3578	217306
81	3622	217279
82	3669	217400
83	3713	217323
84	3758	217341
85	3802	217275
86	3843	217071
87	3888	217060
88	3930	216911
89	3976	216944
90	4022	217005
91	4068	217035
92	4113	217047
93	4157	216983
94	4203	217012
95	4249	217081
96	4294	217084
97	4338	217032
98	4384	217058
99	4428	216985
100	4473	217007
101	4519	217017
102	4565	217076
103	4609	217006
104	4654	216968
105	4698	216924
106	4743	216936
107	4788	216913
108	4832	216852
109	4877	216823
110	4920	216744
111	4964	216686
112	5009	216641
113	5052	216550
114	5097	216551
115	5140	216436
116	5185	216406
117	5231	216453
118	5277	216484
119	5329	216737
120	5375	216746
121	5419	216682
122	5462	216607
123	5507	216575
124	5552	216545
125	5597	216528
126	5642	216493
127	5688	216527
128	5731	216423
129	5777	216442
130	5822	216422
131	5868	216416
132	5912	216350
133	5957	216322
134	6003	216354
135	6050	216384
136	6094	216330
137	6139	216297
138	6183	216247
139	6228	216205
140	6273	216191
141	6320	216244
142	6366	216225
143	6414	216313
144	6457	216213
145	6500	216113
146	6547	216162
147	6593	216158
148	6637	216091
149	6682	216056
150	6730	216125
151	6774	216067
152	6819	216039
153	6863	215991
154	6908	215954
155	6954	215934
156	6997	215865
157	7041	215797
158	7090	215880
159	7136	215878
160	7179	215787
161	7220	215645
162	7264	215567
163	7309	215538
164	7353	215485
165	7396	215392
166	7438	215279
167	7480	215161
168	7524	215096
169	7566	214969
170	7612	214975
171	7658	214973
